ticker,fundo,cnpj,data_informacao,total_cotistas,patrimonio_liquido,preco_fechamento,volume_negociado
MXRF11,FII MAXI RENDA,97521225000125,2023-03-31,808458.0,2276171292.76,10.47,771598.0
HGLG11,CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,11728688000147,2023-03-01,340959.0,3577143616.9,162.46,32538.0
XPML11,XP MALLS FII,28757546000100,2023-03-31,308245.0,2101487966.93,103.73,111941.0
XPLG11,FII XP LOG,26502794000185,2023-03-31,306888.0,3073760013.96,100.3,39712.0
BCFF11B,FUNDO DE FUNDOS FII,11026627000138,2023-03-31,304974.0,1811005977.9,,
IRDM11,IRIDIUM REC IMOB FII,28830325000110,2023-03-31,281160.0,3261837028.68,77.17,76040.0
KNRI11,KINEA RENDA IMOBILIÁRIA FII,12005956000165,2023-03-01,246641.0,3864297066.26,144.9,26645.0
VGHF11,VALORA HEDGE,36771692000119,2023-03-31,244537.0,666911754.82,8.85,219379.0
VISC11,VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,17554274000125,2023-03-01,240425.0,2303031088.29,107.1,38795.0
KNCR11,KINEA RENDIMENTOS IMOBILIÁRIOS FII,16706958000132,2023-03-01,217585.0,5756022790.32,96.63,87544.0
CPTS11B,CAPITANIA SEC II FII,18979895000113,2023-03-31,214019.0,2809831615.79,103.99,0.0
TRXL11,BTGP LOGISTICA FII,11839593000109,2023-03-31,212356.0,2075125184.6,103.38,0.0
HCTR11,FII HECTARE CE,30248180000196,2023-03-31,208225.0,2620721292.22,47.8,149939.0
HGRU11,CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,29641226000153,2023-03-01,196152.0,2275112647.43,121.94,27454.0
UBSR11,FII REC RECEBÍVEIS IMOBILIÁRIOS,28152272000126,2023-03-01,183264.0,2514926804.0,102.5,0.0
